building_name,building_face_direction,lat,lon
Beckman Institute_228,East,40.115527,-88.227342
Beckman Institute_228,North,40.116084,-88.22735
Beckman Institute_228,South,40.115527,-88.227342
Beckman Institute_228,West,40.115527,-88.227342
Coordinated Science Laboratory_148,North,40.115312,-88.226747
Coordinated Science Laboratory_148,South,40.11458,-88.226736
Coordinated Science Laboratory_148,West,40.115052,-88.226951
Digital Computer Laboratory_210,North,40.113445,-88.226849
Electrical and Computer Engineering_409,East,40.114768,-88.22774
Electrical and Computer Engineering_409,North,40.115273,-88.228247
Electrical and Computer Engineering_409,South,40.114561,-88.228212
Engineering Hall_15,West,NA,NA
Everitt Electrical & Computer Engineering Laboratory_37,North,40.115273,-88.228247
Grainger Engineering Library Information Center_324,North,NA,NA
Grainger Engineering Library Information Center_324,South,NA,NA
Grainger Engineering Library Information Center_324,West,NA,NA
Micro and Nanotechnology Laboratory_237,East,40.113882,-88.227477
Micro and Nanotechnology Laboratory_237,North,40.114387,-88.228075
Micro and Nanotechnology Laboratory_237,South,40.113556,-88.227667
National Center for Supercomputing Applications_564,East,40.1148917790537,-88.2244885538719
National Center for Supercomputing Applications_564,North,40.115088,-88.225008
Newmark Civil Engineering Building_24,East,40.113976,-88.225928
Newmark Civil Engineering Building_24,North,40.11428,-88.226868
North Campus Parking Deck_1094,East,40.115602,-88.224215
North Campus Parking Deck_1094,North,40.1155968706914,-88.225530623617
North Campus Parking Deck_1094,South,40.115477,-88.224906
North Campus Parking Deck_1094,West,40.1154943101811,-88.2255949966319
Siebel Center for Computer Science_563,East,40.1140948565334,-88.2251048229641
Siebel Center for Computer Science_563,North,40.1139733196273,-88.2249016456234
Siebel Center for Computer Science_563,West,40.114045,-88.225529
